"","lat","lon","Operator","Class"
"452",12.9282266,77.558143,"Vodafone","poor"
"453",12.9463187,77.6467442,"Vodafone","good"
"454",12.9698617,77.6099275,"Vodafone","good"
"455",12.9389669,77.5327421,"Vodafone","good"
"456",12.9472317,77.6462185,"Vodafone","satisfactory"
"457",12.96213735,77.59915915,"Vodafone","good"
"458",12.9463314,77.6467778,"Vodafone","good"
"459",12.9463776,77.6468225,"Vodafone","satisfactory"
"460",12.9297838,77.5575356,"Vodafone","poor"
"461",12.96759317,77.60611206,"Vodafone","good"
"462",12.9348471,77.5867357,"Vodafone","satisfactory"
"463",12.9741493,77.5999419,"Vodafone","good"
"464",12.9269283,77.5608448,"Vodafone","poor"
"465",12.93093522,77.60277904,"Vodafone","good"
"466",12.9463778,77.6470574,"Vodafone","satisfactory"
"467",12.979383,77.6404237,"Vodafone","good"
"468",12.9585544,77.6022359,"Vodafone","good"
"469",12.9460684,77.6465876,"Vodafone","good"
"470",12.9464113,77.6468337,"Vodafone","good"
"471",12.9677304,77.5965957,"Vodafone","good"
"472",12.9463187,77.6467442,"Vodafone","good"
"473",12.9810003,77.5603834,"Vodafone","good"
"474",12.9297014,77.5577214,"Vodafone","poor"
"475",12.9299818,77.5575871,"Vodafone","good"
"476",12.9463303,77.6467554,"Vodafone","poor"
"477",12.9392394,77.5934988,"Vodafone","good"
"478",12.9298209,77.5574527,"Vodafone","poor"
"479",12.9243682,77.5647294,"Vodafone","satisfactory"
"480",12.97445807,77.60202105,"Vodafone","good"
"481",12.90928809,77.62946201,"Vodafone","good"
"482",12.9297558,77.5574751,"Vodafone","satisfactory"
"483",12.9282103,77.5583707,"Vodafone","poor"
"484",12.9279068,77.5584827,"Vodafone","good"
"485",12.9463776,77.6468225,"Vodafone","good"
"486",12.9296853,77.5573855,"Vodafone","satisfactory"
"487",12.9676547,77.5966293,"Vodafone","satisfactory"
"488",12.9666848,77.5978044,"Vodafone","good"
"489",12.9472085,77.6461961,"Vodafone","poor"
"490",12.9803804,77.6974965,"Vodafone","good"
"491",12.9676547,77.5966293,"Vodafone","poor"
"492",12.848388,77.6834425,"Vodafone","good"
"493",12.9707635,77.5974328,"Vodafone","satisfactory"
"494",12.9753786,77.6144205,"Vodafone","good"
"495",12.9261575,77.567528,"Vodafone","satisfactory"
